wallsMaterial,floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price
brick,4,5,80,8,55.79707999,37.78694997,20100000
panel,3,16,39.5,9,55.58502999,37.69348999,8900000
monolithBrick,18,18,58,31.1,55.61667,37.6,28814487
brick,6,6,131,11.2,55.768065,37.62969376,83500000
monolith,6,17,156,17,55.79320649,37.45430992,42000000
monolith,5,15,105,15,55.64667998,37.47966999,38500000
block,8,12,50,9.6,55.74255001,37.68343003,17500000
panel,1,9,57.5,6,55.70859002,37.79433996,12000000
panel,16,19,57,10,55.68417999,37.70757,26500000
panel,2,17,71,22,55.57166,37.47511501,15700000
monolith,3,5,42,15,55.7424044,37.63683602,37500000
panel,12,17,51.1,8.5,55.84108438,37.57029975,18900000
monolithBrick,9,10,67,14,55.46725001,37.54502,13700000
panel,3,9,45.3,6,55.88798001,37.61130996,12900000
panel,8,9,32.6,8,55.82110001,37.86847999,7500000
monolith,24,24,58,9,54.03614454,38.21863636,13499000
panel,12,12,34.5,7,55.62676066,37.51371129,11200000
monolith,2,25,73.5,20.6,55.68975112,37.7171476,33506959
monolith,7,55,55.2,24.1,55.82357,37.44621,19000000
monolith,11,38,44,4.7,55.843122,37.6365065,21900000
panel,2,9,59,6.1,55.78430656,37.45902498,24900000
panel,8,12,33,6.6,55.71691999,37.63026002,12475000
monolith,17,23,39,17,55.82357,37.44621,17100000
monolith,15,16,51.1,8.5,55.66473,37.56135,18999990
monolith,4,13,76.49,5,55.87105,37.51282,16201472
monolith,13,14,68.5,22.7,55.70833733,37.49075309,46450000
monolith,18,18,54.9,17.9,55.57524,37.44965,18969652
panel,13,14,38.5,8.5,55.69359999,37.61220003,12500000
block,1,12,38,6,55.67705001,37.66971003,10800000
monolith,30,42,29.3,9.7,55.7503,37.46887,14458079
monolith,8,15,35.2,10,55.55420001,37.46591998,10400000
monolith,3,25,135,20,55.80287188,37.5221071,81000000
panel,7,9,39.4,8.6,55.69656999,37.85115996,10700000
monolith,3,33,43,8,55.85901837,37.55149222,24000000
panel,3,9,44.7,7,55.82749709,37.76479098,14500000
brick,2,5,49.1,7.2,55.79707999,37.78694997,13990000
monolith,9,44,76.8,14.6,55.77438,37.47205,33000000
brick,7,14,43.5,12,55.73306002,37.66017,32000000
monolithBrick,3,42,47.3,24,55.68070187,37.59670027,19500000
monolith,10,26,48,21,55.67355024,37.61179768,22500000
panel,10,16,51.2,11.3,55.67688002,37.77048004,13650000
brick,5,6,75.2,8.1,55.75818,37.55651,5500000
monolith,2,16,72.5,12.5,55.55420001,37.46591998,13950000
panel,12,12,39.3,12.8,55.64409641,37.39975873,8200000
monolith,6,19,120,15,55.81840886,37.71591931,55000000
monolith,2,33,35.6,17.3,55.66867785,37.43923121,15514480
brick,2,5,57.5,6,55.78929002,37.59554,19000000
brick,4,6,34.7,8.9,55.71638001,37.60815003,17990000
panel,6,12,64.4,8.8,55.6342,37.66733,19900000
monolith,17,21,72,19.5,55.80878022,37.48262268,37080000
panel,2,12,39.2,8.5,55.87909,37.5794,9500000
panel,5,25,34.1,15.9,55.66667,37.75,9299999
monolith,30,52,52,21,55.79766958,37.50022075,34000000
block,3,4,40.4,7.6,55.48761,37.27764,6200000
monolithBrick,6,9,55,10.8,55.57524,37.44965,12100000
block,2,12,34.8,9.8,55.71463999,37.80886002,10150000
monolith,6,22,35,8,55.65307001,37.60307511,18000000
monolith,10,13,22.1,2,55.70277184,37.63335336,9390000
